regNo,name,rankOf12Month,rankOf24Month,rankOf36Month,rankOf48Month,rankOf60Month,rankLastUpdate,fundType,typeOfInvest,fundSize,initiationDate,dailyEfficiency,weeklyEfficiency,monthlyEfficiency,quarterlyEfficiency,sixMonthEfficiency,annualEfficiency,statisticalNav,efficiency,cancelNav,issueNav,dividendIntervalPeriod,guaranteedEarningRate,date,netAsset,estimatedEarningRate,investedUnits,articlesOfAssociationLink,prosoectusLink,websiteAddress,manager,managerSeoRegisterNo,guarantorSeoRegisterNo,auditor,custodian,guarantor,beta,alpha,isCompleted,fiveBest,stock,bond,other,cash,deposit,fundUnit,commodity,fundPublisher,smallSymbolName,insCode,fundWatch
11215,توسعه اطلس مفید,,,,,,0001-01-01T00:00:00,6,Negotiable,41789356198513,2014-12-23T00:00:00,0.626,1.552,0.674,18.459,40.85,44.277,61240.0,6436.45,61240.0,61622.0,0,,2025-03-02T00:00:00,41789356198513,,682382240,,,['atlasetf.com'],سبدگردان مفید,11464,,موسسه حسابرسی داریا روش,موسسه حسابرسی رهیافت و همکاران,----,-0.001181,27.277,True,20.49,93.36,0.06,1.07,0.0,5.51,,,1,اطلس,11427939669935844,
11907,بخشی پتروشیمی دماوند,,,,,,0001-01-01T00:00:00,21,Negotiable,3503255674740,2022-03-09T00:00:00,0.965,3.779,-0.415,14.783,33.51,44.014,21857.0,118.57,21857.0,22003.0,0,,2025-03-02T00:00:00,3503255674740,,160277235,,,['petromafund.ir'],تامین سرمایه دماوند,,,بیات رایان,موسسه حسابرسی سامان پندار,----,,,True,38.27,91.95,0.0,0.94,0.0,7.11,,,1,پتروما,7670135462634715,
11962,قابل معامله سهامی درسا,,,,,,0001-01-01T00:00:00,6,Negotiable,267189724857,2022-06-20T00:00:00,1.38,4.5,-0.1,23.7,43.07,43.9,22920.0,123.23,22920.0,23084.0,0,,2025-03-02T00:00:00,267189724857,,11657063,,,['dorsaetf.ir'],سبد گردان کارا,11827,,موسسه حسابرسی رازدار,ایرانیان تحلیل فارابی,----,1.025857,6.9,True,29.54,99.31,0.0,0.18,0.0,0.51,0.0,0.0,2,درسا,34581754264880199,
11763,شاخصی بازار آشنا,,,,,,0001-01-01T00:00:00,23,Negotiable,1250305742098,2021-03-02T00:00:00,1.22,4.56,4.04,21.51,42.98,42.42,23457.0,131.85,23457.0,23612.0,0,,2025-03-02T00:00:00,1250305742098,,53300000,,,['indexfund.ir'],سبدگردان سهم آشنا,11557,,مؤسسه حسابرسی آزمودگان,مؤسسه حسابرسی رهیافت و همکاران,----,,,True,32.15,92.64,0.0,3.97,0.0,3.38,0.0,0.0,2,وبازار,41286608288791633,
11235,مشترک رشد سامان,,,,,,0001-01-01T00:00:00,6,IssuanceAndCancellation,3585870523462,2014-02-12T00:00:00,-0.122,3.313,2.051,20.668,38.104,42.218,170104.0,2228.234,170104.0,171271.0,3,,2025-03-02T00:00:00,3585870523462,,21080398,,,['iran-kfunds6.ir'],تامین سرمایه کاردان,,10000004,مؤسسه وانیا نیک تدبیر,ارقام نگر آریا,بیمه سامان,1.035801,4.218,True,34.55,98.35,0.0,1.15,0.03,0.47,,,1,,None,
11055,توسعه اعتماد رفاه,,,,,,0001-01-01T00:00:00,6,IssuanceAndCancellation,3075484751449,2012-05-09T00:00:00,0.604,4.981,0.886,17.15,44.038,41.992,1041305.0,10236.334,1041305.0,1049134.0,0,,2025-03-02T00:00:00,3075484751449,,2953490,,,['trfund.ir'],کارگزاری بانک رفاه,,,موسسه حسابرسی رازدار,مشاور سرمایه گذاری ایرانیان تحلیل فارابی,----,1.312601,-1.008,True,22.08,97.98,0.0,1.48,0.0,0.54,,,1,,None,
12189,تضمین اصل مبلغ سرمایه خلیج فارس,,,,,,0001-01-01T00:00:00,24,IssuanceAndCancellation,1707911238524,2023-11-06T00:00:00,0.429,3.135,1.472,14.038,28.518,41.667,15143.0,52.32,15232.0,15303.0,0,,2025-03-02T00:00:00,1707911238524,,112127491,,,['tazmin.pgibc.ir'],تامین سرمایه خلیج فارس,,,موسسه حسابرسی و خدمات مدیریت ارقام نگر آریا,مشاور سرمایه‌گذاری سهم آشنا,----,,,True,22.2,66.02,12.0,0.88,0.0,21.1,,,1,,None,
12135,تضمین اصل سرمایه گیتی دماوند,,,,,,0001-01-01T00:00:00,24,Negotiable,17091107270386,2023-07-22T00:00:00,0.18,1.9,2.79,11.55,22.13,41.2,16855.0,70.56,17056.0,17109.0,0,,2025-03-02T00:00:00,17091107270386,,1002072900,,,['gitidamavandfund.ir'],تامین سرمایه دماوند,,,حسابرس (موسسه حسابرسی رازدار),متولی (مشاور سرمایه گذاری ایرانیان تحلیل فارابی ),----,,,True,32.35,41.33,52.87,4.13,0.11,13.31,,,4,گارانتی,971068957336171,
11157,مشترک آسمان خاورمیانه,,,,,,0001-01-01T00:00:00,7,Negotiable,1836048523180,2013-06-30T00:00:00,-0.054,2.99,2.645,15.641,31.441,41.028,997964.0,9880.538,997964.0,1002122.0,0,,2025-03-02T00:00:00,1836048523180,,1839794,,,['akmfund.ir'],سبد گردان آسمان,10906,,موسسه حسابرسی و خدمات مدیریت رهیافت و همکاران,موسسه حسابرسی و خدمات مدیریت آزموده کاران,----,,,True,37.05,51.8,22.81,0.82,0.01,24.57,,,1,هیبرید,48932793456289874,
10591,مشترک کارگزاری حافظ,,,,,,0001-01-01T00:00:00,6,IssuanceAndCancellation,1958740248529,2008-03-24T00:00:00,0.34,4.38,2.2,16.92,36.38,40.99,30966756.0,5128.34,30966756.0,31176447.0,0,,2025-03-02T00:00:00,1958740248529,,63253,,,['mutualfund.hafezbourse.com'],مشاور سرمایه گذاری هدف حافظ,11101,,موسسه حسابرسی رازدار,موسسه حسابرسی و خدمات مدیریت ارقام نگر آریا,----,1.028942,3.99,True,41.98,96.67,1.31,1.86,0.0,0.16,0.0,0.0,2,,None,
11786,اختصاصی بازار گردانی حامی اول,,,,,,0001-01-01T00:00:00,11,IssuanceAndCancellation,4176174973298,2021-04-20T00:00:00,-0.16,-0.04,-4.32,3.35,20.44,40.16,1928658.0,92.87,1928658.0,1931237.0,0,,2025-03-02T00:00:00,4176174973298,,2165326,,,['avalhami.ir'],سرمایه گذاری توسعه نور دنا,10991,,موسسه حسابرسی و خدمات مدیریت رهیافت وهمکاران,مشاور سرمایه گذاری سهم آشنا,----,,,True,63.26,63.26,13.85,0.01,9.72,0.0,13.16,0.0,2,,None,
11183,سهامی سپند کاریزما,,,,,,0001-01-01T00:00:00,6,Negotiable,10761314591937,2013-10-07T00:00:00,1.12,3.25,1.79,15.85,33.58,40.13,32015.0,4910.98,32015.0,32229.0,0,,2025-03-02T00:00:00,10761314591937,,336129760,,,['sepand.charismafunds.ir'],سبد گردان کاریزما,10856,,موسسه حسابرسی هدف نوین نگر,موسسه حسابرسی و خدمات مدیریت داریا روش,----,0.882827,6.13,True,17.64,91.12,0.03,1.84,0.0,2.79,0.0,4.23,2,کاریس,69067576215760005,
